    "Content-UUID","URL","Term","Definition","Data-Type","Unit-of-Measure","Category","Sector","Updated-Date"
"5b9f995f-ff70-4c06-a976-91e54ed88f25","https://bedes.lbl.gov/node/5b9f995f-ff70-4c06-a976-91e54ed88f25","Ceiling Configuration","Description of the type of ceiling in the premises.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"16d028b7-fe74-4fb7-a17a-46c42310febb","https://bedes.lbl.gov/node/16d028b7-fe74-4fb7-a17a-46c42310febb","Construction Method","The general description of the main structural construction method used for an Opaque Surface.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"0206860d-6089-4c7d-a024-c89ec5e27d36","https://bedes.lbl.gov/node/0206860d-6089-4c7d-a024-c89ec5e27d36","Door Construction","Type of door construction.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"72b5b341-ba65-447b-a827-dd8b954db234","https://bedes.lbl.gov/node/72b5b341-ba65-447b-a827-dd8b954db234","Fenestration","A premises component that contain some type of transparent or translucent glazing material, as well as some type of framing or sash material. [NOTE: The Location term can be added to this term if there is a need to differentiate between interior and exterior fenestration products, or in any other way describe the location of the product.]
","Constrained List","N/A","Envelope","N/A","2019-11-26 17:28:02"
"c9608e42-ae8f-4686-aff8-5972a04bc132","https://bedes.lbl.gov/node/c9608e42-ae8f-4686-aff8-5972a04bc132","Fenestration Certification","Type of certification for a fenestration product.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"94def164-4be5-4ffb-9603-b179d31d5e33","https://bedes.lbl.gov/node/94def164-4be5-4ffb-9603-b179d31d5e33","Fenestration Frame Material","The construction and material used in the frame of the fenestration product. Some frames are made of combinations of materials. This characterization also include whether an aluminum frame has a thermal break as part of the construction
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"a0683926-ead9-4aa3-b5ba-75fbf36f289d","https://bedes.lbl.gov/node/a0683926-ead9-4aa3-b5ba-75fbf36f289d","Fenestration Gas Fill","For a sealed glazing system (commonly called an Insulated Glass Unit (IGU), the gas that is found between the panes of glass.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"701f88cb-820d-4cc4-8000-7db6348b591e","https://bedes.lbl.gov/node/701f88cb-820d-4cc4-8000-7db6348b591e","Fenestration Glass Layer Description","A description of the number of layers of glass in a fenestration glazing system.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"cdfc6404-8b5b-44e4-85a4-45694b429188","https://bedes.lbl.gov/node/cdfc6404-8b5b-44e4-85a4-45694b429188","Fenestration Glazing Type","Type of glazing material in the fenestration product.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"0f378641-b016-4bb6-acce-330cf7398016","https://bedes.lbl.gov/node/0f378641-b016-4bb6-acce-330cf7398016","Fenestration Layout","The pattern of distribution of the fenestration system on the wall.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"c42d750c-4816-45cd-a63e-be7e72d2f532","https://bedes.lbl.gov/node/c42d750c-4816-45cd-a63e-be7e72d2f532","Fenestration Number of Glass Layers","The number of layers in a fenestration insulated glass unit (IGU).
","Integer","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"e9a37d51-dadc-434e-b790-73230e352de0","https://bedes.lbl.gov/node/e9a37d51-dadc-434e-b790-73230e352de0","Fenestration Operation","Characterization of whether a fenestration product can be opened.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"b896fde7-0300-4803-b13d-cb8004c4fb31","https://bedes.lbl.gov/node/b896fde7-0300-4803-b13d-cb8004c4fb31","Finish","The final material applied to a surface, either interior or exterior. Some structural components don't have an exterior finish, such as unfinished poured concrete
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"08c03c7f-c401-4201-a792-5033571b3782","https://bedes.lbl.gov/node/08c03c7f-c401-4201-a792-5033571b3782","Floor Level","Integer value of a floor level beginning in the US at 1 for ground level. Can be negative for below grade levels.
","Integer","N/A","Envelope","","2019-12-10 10:10:02"
"dc8cd762-b447-4c87-8a7b-1ccf451fbf06","https://bedes.lbl.gov/node/dc8cd762-b447-4c87-8a7b-1ccf451fbf06","Footprint Shape","General shape of the premises outlined by the exterior walls. Illustrations will be added when the web version is developed.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"141a6da0-e9ba-48e5-906d-4481652de010","https://bedes.lbl.gov/node/141a6da0-e9ba-48e5-906d-4481652de010","Foundation Component","Element or characteristic of a foundation
","Constrained List","N/A","Envelope","","2019-11-26 17:28:02"
"0e817abf-dbb8-4c43-9711-9db056fb5e6d","https://bedes.lbl.gov/node/0e817abf-dbb8-4c43-9711-9db056fb5e6d","Foundation Ground Coupling","The type of coupling between foundation and ground.  Use Location and Conditioning Status terms to further qualify coupling.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"aa58e3ac-0653-415b-b64a-586009ca8b83","https://bedes.lbl.gov/node/aa58e3ac-0653-415b-b64a-586009ca8b83","Foundation Height","Height of the premises foundation. [NOTE: The Location term can be used to further refine this definition, such as Foundation Height  Above Grade or Foundation Height Below Grade.]
","Decimal","ft","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"c4457596-5000-4ece-a1fd-f535bf450062","https://bedes.lbl.gov/node/c4457596-5000-4ece-a1fd-f535bf450062","Foundation Perimeter Insulation","Is the foundation perimeter insulated.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"8c9baf3c-216a-47b4-b716-ba81cea58775","https://bedes.lbl.gov/node/8c9baf3c-216a-47b4-b716-ba81cea58775","Framing Factor","Fraction (0-1) of the surface that is composed of structural framing material.
","Decimal","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"6c5145b0-5bee-4b2e-b598-89e793430e57","https://bedes.lbl.gov/node/6c5145b0-5bee-4b2e-b598-89e793430e57","Glazing Diffusing Description","If the Fenestration Glass Type is diffusing (the material is not clear and causes light coming through it to be scattered), type of diffusing surface
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"9e7075e5-68f5-4b5b-b871-d2c3e1329ffe","https://bedes.lbl.gov/node/9e7075e5-68f5-4b5b-b871-d2c3e1329ffe","Horizontal Surroundings","Attachments to the outermost horizontal surfaces of the premises.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"a80a1ea8-a2e3-4470-bf8e-3d69d22dfdb9","https://bedes.lbl.gov/node/a80a1ea8-a2e3-4470-bf8e-3d69d22dfdb9","Material","Material used in the construction of an opaque surface.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"ffc0bb04-9871-441c-83ef-37954d8c0cef","https://bedes.lbl.gov/node/ffc0bb04-9871-441c-83ef-37954d8c0cef","Material Qualifier","A description of how the material is applied.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"27f2b60e-cace-4371-b865-59080ee7ab21","https://bedes.lbl.gov/node/27f2b60e-cace-4371-b865-59080ee7ab21","Moveable Insulation","Indication of whether or not a fenestration product has moveable insulation. This type of insulation can be applied when needed, such as on a hot summer day or a cold winter night, and removed when it is not needed.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"564ddb34-5622-4de3-a056-85906df8454e","https://bedes.lbl.gov/node/564ddb34-5622-4de3-a056-85906df8454e","Number Of Fenestration Units","Number of windows, skylights, glass doors, etc associated with a surface, a zone, a premises, etc.
","Integer","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"686035b9-341d-490b-ad08-b5c192b701b1","https://bedes.lbl.gov/node/686035b9-341d-490b-ad08-b5c192b701b1","Opaque Surface","Opaque Surface type
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"d18ab35e-fc1f-41b3-9c40-1a2dbece8063","https://bedes.lbl.gov/node/d18ab35e-fc1f-41b3-9c40-1a2dbece8063","Opaque Surface Component","Element or characteristic of an opaque surface
","Constrained List","N/A","Envelope","","2019-11-26 17:28:02"
"2775f04c-c620-4812-b74d-54ee56a3011d","https://bedes.lbl.gov/node/2775f04c-c620-4812-b74d-54ee56a3011d","Percent Glazing","The percentage of an opaque surface or door that is glazed
","Decimal","percent","Envelope","","2019-12-11 11:57:42"
"977866c8-e6d9-49e2-89dc-20a02aff5f76","https://bedes.lbl.gov/node/977866c8-e6d9-49e2-89dc-20a02aff5f76","Percent Of Fenestration Area Shaded","The percent of the fenestration area that is shaded by exterior objects such as trees or other premises'.
","Decimal","percent","Envelope","Commercial, Residential, Multifamily","2019-12-10 10:35:17"
"1cc713a8-83d7-420a-9438-34d94b36f8e2","https://bedes.lbl.gov/node/1cc713a8-83d7-420a-9438-34d94b36f8e2","Percent Skylight Area","The percent of the skylight area relative to the roof area.
","Decimal","percent","Envelope","Commercial, Residential, Multifamily","2019-12-10 10:34:40"
"4b75a2a2-3b7a-4678-b5b7-3ab623be2413","https://bedes.lbl.gov/node/4b75a2a2-3b7a-4678-b5b7-3ab623be2413","Percent Vision Glazing","The percent of the glass portion of an exterior window, relative to the wall area, that permits views to the exterior or interior. Vision glazing must allow a clear image of the exterior and must not be obstructed by frits, fibers, patterned glazing, or added tints that distort color balance. (USGBC)
","Decimal","percent","Envelope","Commercial, Residential, Multifamily","2019-12-10 10:34:58"
"c5a97560-3822-465d-9327-67611ab8fa9e","https://bedes.lbl.gov/node/c5a97560-3822-465d-9327-67611ab8fa9e","Plumbing Penetration Sealing","Type of plumbing penetration sealing
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"5cb6066d-5de5-449f-ad6a-6bb51af01e9d","https://bedes.lbl.gov/node/5cb6066d-5de5-449f-ad6a-6bb51af01e9d","Radiant Barrier","Type of radiant barrier in the construction
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"60ef9619-669a-460b-9fc1-17a02048f43d","https://bedes.lbl.gov/node/60ef9619-669a-460b-9fc1-17a02048f43d","Radiant Barrier Location","Installed location of radiant barrier
","Constrained List","N/A","Envelope","","2019-11-26 17:28:02"
"adffe5cb-1940-4b3b-a3b3-9cf37aa7b227","https://bedes.lbl.gov/node/adffe5cb-1940-4b3b-a3b3-9cf37aa7b227","Roof Shape","Architectural description of the exterior shape of the roof. If the roof has more than one shape, this is the primary roof shape. Illustrations to be added when the website is developed.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"b3328f93-5232-4ac1-93ef-ef06d5d008c8","https://bedes.lbl.gov/node/b3328f93-5232-4ac1-93ef-ef06d5d008c8","Shading System","A system that can be added to a fenestration system which blocks or redirects some amount of the solar radiation coming through the fenestration system. A shading system can be located on the inside or outside of a fenestration system, and it can also be added between the glass (or plastic) layers of a glazing system. The location can be specified using the Location term.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"cd8de311-9873-468c-8de3-0f82ed09abf9","https://bedes.lbl.gov/node/cd8de311-9873-468c-8de3-0f82ed09abf9","Shell Area","The total surface area of the exterior envelope of a building
","Decimal","ft2","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"93b1e211-b066-4ff4-85ef-bb3a1f1da2a1","https://bedes.lbl.gov/node/93b1e211-b066-4ff4-85ef-bb3a1f1da2a1","Sill Height","Distance from the floor to the lower horizontal surface at the window opening.
","Decimal","ft","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"5df5cf85-3552-44e3-a6a7-022c9b84610b","https://bedes.lbl.gov/node/5df5cf85-3552-44e3-a6a7-022c9b84610b","Solar Heat Gain Coefficient","The ratio of the solar heat gain entering the space through the fenestration product to the incident solar radiation. Solar heat gain includes directly transmitted solar heat and that portion of the absorbed solar radiation which is then reradiated, conducted, or convected into the space. Legal values: 0-1.
","Decimal","percent","Envelope","Commercial, Residential, Multifamily","2019-12-10 10:40:20"
"c95ad029-039c-4c51-9f58-d60b2492cbe3","https://bedes.lbl.gov/node/c95ad029-039c-4c51-9f58-d60b2492cbe3","Solar Reflectance Index","A measure of a roof's ability to reject solar heat, as shown by a small temperature rise. It is defined so that a standard black (reflectance 0.05, emittance 0.90) is 0 and a standard white (reflectance 0.80, emittance 0.90) is 100. SRI
","Integer","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"160cf3e7-6cd4-42a2-86c2-b239564304f9","https://bedes.lbl.gov/node/160cf3e7-6cd4-42a2-86c2-b239564304f9","Vertical Surroundings","Attachments to the outermost vertical surfaces of the premises.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"c5402440-9d7c-4157-be40-2d1c57326363","https://bedes.lbl.gov/node/c5402440-9d7c-4157-be40-2d1c57326363","Visible Transmittance","The fraction of radiation in the visible solar spectrum (0.4 to 0.7 micrometers) that passes through a material. Legal values: 0-1.
","Decimal","percent","Envelope","Commercial, Residential, Multifamily","2019-12-10 10:43:20"
"d0dc1cd6-e818-4539-9686-2fe3ea0d5922","https://bedes.lbl.gov/node/d0dc1cd6-e818-4539-9686-2fe3ea0d5922","Weatherstrip Description","Material used in weatherstipping application. This can apply to doors, windows, as well as system components such as refrigeration doors. 
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"7cdcf029-2c77-49e2-b931-b68c61a58425","https://bedes.lbl.gov/node/7cdcf029-2c77-49e2-b931-b68c61a58425","Weatherstrip Status","Whether a premises or feature, such as a door or window, is weatherstripped.
","Constrained List","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"386c6359-a381-4dbf-b2e0-c72069f7843c","https://bedes.lbl.gov/node/386c6359-a381-4dbf-b2e0-c72069f7843c","Window To Wall Ratio","Ratio of total window area to total wall area, where the total wall area is calculated using the floor to floor height, rather than the floor to ceiling height.
","Decimal","N/A","Envelope","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"74b98cc4-359a-42e9-bd38-5a624d64a541","https://bedes.lbl.gov/node/74b98cc4-359a-42e9-bd38-5a624d64a541","Age","Age of premises or equipment in years.
","Decimal","years","Global Terms","Commercial, Residential, Multifamily","2019-12-10 10:45:15"
"09d61aee-b740-4655-8a5c-75ccf98d3731","https://bedes.lbl.gov/node/09d61aee-b740-4655-8a5c-75ccf98d3731","Area","The space inside the boundary of a 2 dimensional shape. This can be used with many other terms, including Location, Conditioning Status, Opaque Surface, to characterize the area of particular components.
","Decimal","ft2","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"a5be89a5-247c-49cf-8a37-c0ce3cbdc67d","https://bedes.lbl.gov/node/a5be89a5-247c-49cf-8a37-c0ce3cbdc67d","Aspect Ratio","The ratio of width to length, of a premises
","Decimal","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"385b7e73-dca3-433d-9a2b-ecc9e78e1f57","https://bedes.lbl.gov/node/385b7e73-dca3-433d-9a2b-ecc9e78e1f57","Azimuth","Degrees clockwise from North. For a premises, it is the azimuth of the front facing element. It can also be applied to envelope components, such as walls, windows (fenestration), as well as on-site generation technologies, such as photovoltaic panels. Legal Values: 0 - 360
","Decimal","deg","Global Terms","Commercial, Residential, Multifamily","2019-12-06 11:56:15"
"abca8775-79cc-4cc8-aaea-e357aed4cde6","https://bedes.lbl.gov/node/abca8775-79cc-4cc8-aaea-e357aed4cde6","Boolean","Generic term to add boolean constrained list options to any term
","Constrained List","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"e491efc7-3afb-4b77-a69b-f2c4d34956d0","https://bedes.lbl.gov/node/e491efc7-3afb-4b77-a69b-f2c4d34956d0","Building Energy Code Or Standard","The name of an energy efficiency code or standard that is applied to building construction requirements.
","Constrained List","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"c1e7de66-6e00-4fad-9eed-20cdfcf1fc0e","https://bedes.lbl.gov/node/c1e7de66-6e00-4fad-9eed-20cdfcf1fc0e","Building Energy Code Or Standard Version","The version number, such as ""90.1"" for ASHRAE Standard.
","String","n/a","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"666816fc-d4a8-4853-825c-81beefb4d63a","https://bedes.lbl.gov/node/666816fc-d4a8-4853-825c-81beefb4d63a","Building Energy Code Year","Year for the Energy Code or Standard used with the Energy Code term. As the energy codes and standards are updated, dates are assigned for version control. There can be significant changes between different year versions, so it is important to capture the year of the standard as it applies to the building in question.
","TimeStamp","YYYY","Global Terms","Commercial, Residential, Multifamily","2019-12-06 11:35:17"
"785ea29e-0f5b-404a-aa9c-6e7dc667bf7a","https://bedes.lbl.gov/node/785ea29e-0f5b-404a-aa9c-6e7dc667bf7a","Capacity","The capacity value of the associated equipment or system
","Decimal","","Global Terms","Commercial, Residential, Multifamily","2019-12-12 10:44:58"
"9b368a3c-9548-477b-98d8-56aeb270a43e","https://bedes.lbl.gov/node/9b368a3c-9548-477b-98d8-56aeb270a43e","Capacity Qualifier","The capacity refers to the energy or physical load amount that equipment can handle.
","Constrained List","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"de8671ad-4714-417d-9554-61b2e2561772","https://bedes.lbl.gov/node/de8671ad-4714-417d-9554-61b2e2561772","Cardinal Orientation","Orientation of a surface or premises in terms of the attributes of North, South, East and West. Can be applied to the orientation of the front of the building, of a specific surface (wall, roof), window or skylight, or on-site generation technology, such as photovoltaic panels. A diagram for the constrained list choices will be provided when the web site is developed.
","Constrained List","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"2c526aad-1a07-433b-ad0c-8d292db596ad","https://bedes.lbl.gov/node/2c526aad-1a07-433b-ad0c-8d292db596ad","Circadian Stimulus","CS - This metric indicates how well a one-hour exposure to a light source producing a certain light level and wavelength of light stimulates the circadian system, based on its ability to suppress the hormone melatonin. It ranges from 0.1, the threshold for circadian activation, to 0.7, which represents saturation.
","Decimal","N/A","Global Terms","","2019-11-26 17:28:02"
"33c6c89b-7549-4440-bee7-e54084507c0f","https://bedes.lbl.gov/node/33c6c89b-7549-4440-bee7-e54084507c0f","Color","Color of a material or component. Can be applied to opaque surfaces, materials, and so forth.
","Constrained List","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"c38f9cc1-b4fe-459f-a194-41188cc02e89","https://bedes.lbl.gov/node/c38f9cc1-b4fe-459f-a194-41188cc02e89","Condition","Description of a component's condition.
","Constrained List","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"86b2ac31-8d38-4e02-b457-d3998d19ab6d","https://bedes.lbl.gov/node/86b2ac31-8d38-4e02-b457-d3998d19ab6d","Conditioning Status","A description of the state of ""conditioning"" of a premises or space, where conditioning is primarily concerned with heating, cooling and ventilation.
","Constrained List","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"f30b6c63-f69e-4fd9-83da-df02453d49b7","https://bedes.lbl.gov/node/f30b6c63-f69e-4fd9-83da-df02453d49b7","Consumption Rate","Rate at which resource is consumed by the system.
","Decimal","","Global Terms","Commercial, Residential, Multifamily","2019-12-12 10:45:35"
"5364ae7a-62fd-4354-be50-7989abafb82d","https://bedes.lbl.gov/node/5364ae7a-62fd-4354-be50-7989abafb82d","Consumption Rate Type","Rate measurement type for resource consumption of the system.
","Constrained List","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"05d59553-9803-4417-b2c4-b78064e7380b","https://bedes.lbl.gov/node/05d59553-9803-4417-b2c4-b78064e7380b","Coordinate","Qualifier for various dimensional terms to clarify the coordinate direction
","Constrained List","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"b2a9970d-75bc-4e60-a295-a1f33e2d5dae","https://bedes.lbl.gov/node/b2a9970d-75bc-4e60-a295-a1f33e2d5dae","Date","Date
","TimeStamp","YYYY-MM-DD","Global Terms","","2019-12-17 12:17:22"
"ecf22d4c-16f2-4f87-89f9-cb2b77c3c929","https://bedes.lbl.gov/node/ecf22d4c-16f2-4f87-89f9-cb2b77c3c929","Date Status","Status of the associated Date
","Constrained List","n/a","Global Terms","","2019-11-26 17:28:02"
"a2205a8c-403f-4416-825d-28a510517c90","https://bedes.lbl.gov/node/a2205a8c-403f-4416-825d-28a510517c90","Demand Response Participation","Demand response participation requires changes in electric usage by end-use customers from their normal consumption patterns in response to changes in the price of electricity over time, or to incentive payments designed to induce lower electricity use at times of high wholesale market prices or when system reliability is jeopardized.
","Constrained List","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"53481ff1-d804-4ebc-b1b5-bbd2d9c4fd21","https://bedes.lbl.gov/node/53481ff1-d804-4ebc-b1b5-bbd2d9c4fd21","Density","Mass per unit volume.
","Decimal","lbs/ft3","Global Terms","Commercial, Residential, Multifamily","2019-12-17 12:35:53"
"5f497898-62a1-4933-95f5-fd8316ec0ad1","https://bedes.lbl.gov/node/5f497898-62a1-4933-95f5-fd8316ec0ad1","Depth","Dimension of the distance from the front to the back, such as the depth of structural framing in a wall or floor. It can also be the distance from the top to the bottom, such as the depth of a tank or pool of a component or material, such as the depth of the structural framing
","Decimal","ft","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"57337b4c-d877-4ed4-9c91-7e76f75200e3","https://bedes.lbl.gov/node/57337b4c-d877-4ed4-9c91-7e76f75200e3","Description","A longer text description.
","String","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"351f92ae-12ef-4483-b6f7-e77bd63910fa","https://bedes.lbl.gov/node/351f92ae-12ef-4483-b6f7-e77bd63910fa","Diameter","Diameter of an object
","Decimal","ft","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"763f23a9-dc93-47be-9953-27cfbe8526c2","https://bedes.lbl.gov/node/763f23a9-dc93-47be-9953-27cfbe8526c2","Dimension","A linear measurement in one direction. Can be used to generically describe this measurement, if needed.
","Decimal","ft","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"23f54b10-6508-4e19-a5ee-ed3d652f829a","https://bedes.lbl.gov/node/23f54b10-6508-4e19-a5ee-ed3d652f829a","Duty Cycle","Percent of time the system operates.
","Decimal","percent","Global Terms","Commercial, Residential, Multifamily","2019-12-10 10:37:51"
"09d9cf77-6f90-4551-bca4-900fcf4593cc","https://bedes.lbl.gov/node/09d9cf77-6f90-4551-bca4-900fcf4593cc","Effective R Value","The R-value of a complete construction including all material layers as well as the interior and exterior air film coefficients.
","Decimal","hr-ft2-F/Btu","Global Terms","Commercial, Residential, Multifamily","2019-12-10 10:47:41"
"4af43a8f-ebba-442e-a670-9d12bc940fb6","https://bedes.lbl.gov/node/4af43a8f-ebba-442e-a670-9d12bc940fb6","Efficiency Metric Qualifier","The measure used to quantify efficiency
","Constrained List","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"0c7a8485-8b74-49a4-b063-6ce3ff0c6155","https://bedes.lbl.gov/node/0c7a8485-8b74-49a4-b063-6ce3ff0c6155","Efficiency Qualifier","Variations in the quantification of the effectiveness with which equipment, a product, process, or system performs.
","Constrained List","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"f4ae710f-5086-4d91-823c-86c69bb11333","https://bedes.lbl.gov/node/f4ae710f-5086-4d91-823c-86c69bb11333","Efficiency Value","The numeric value associated with an Efficiency Qualifier, given in the associated Efficiency Metric
","Decimal","","Global Terms","Commercial, Residential, Multifamily","2019-12-12 10:46:04"
"43572136-4f57-46a6-9468-4d76ba583d90","https://bedes.lbl.gov/node/43572136-4f57-46a6-9468-4d76ba583d90","Eh","Illuminance (horizontal)
","Decimal","fc","Global Terms","","2019-11-26 17:28:02"
"d0a672d8-ad01-4119-8dab-3cf71606dd9d","https://bedes.lbl.gov/node/d0a672d8-ad01-4119-8dab-3cf71606dd9d","Emittance","The capacity of a material to emit radiant energy. The ratio of the radiant flux emitted by a physical surface to that emitted by a blackbody at the same temperature and under the same conditions. It can be expressed as 1-(long-wave infrared absorptance) for materials that are not transparent in the long-wave infrared spectrum. Emittance is a surface property; values range from 0.05 for brightly polished metals to 0.96 for flat black paint. The emittance for most materials is 0.9.
","Decimal","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"ba39a9a6-84fb-4bca-bfc2-77cc2954e243","https://bedes.lbl.gov/node/ba39a9a6-84fb-4bca-bfc2-77cc2954e243","Energy Software Tool","A software program that is used in some fashion to calculate the energy consumption of a building
","String","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"6fd9973b-20ef-4a08-8c01-ad2d03eb51a9","https://bedes.lbl.gov/node/6fd9973b-20ef-4a08-8c01-ad2d03eb51a9","Energy Software Tool Version","The release version of the software tool used to calculate energy performance of a building.
","String","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"06427039-12b0-40b9-996f-5990cabd1c33","https://bedes.lbl.gov/node/06427039-12b0-40b9-996f-5990cabd1c33","Equipment Rating","Formalized rating system for a given type of equipment.
","Constrained List","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"c5e0df27-0176-4165-8143-67da9ae479ac","https://bedes.lbl.gov/node/c5e0df27-0176-4165-8143-67da9ae479ac","Equivalent Melanopic Lux","EML - The WELL Building Standard uses Equivalent Melanopic Lux (EML) as a metric for measuring the biological effects of light on humans
","Decimal","N/A","Global Terms","","2019-11-26 17:28:02"
"ae8c100e-f641-4388-a6d1-6bc4a5792bcd","https://bedes.lbl.gov/node/ae8c100e-f641-4388-a6d1-6bc4a5792bcd","Ev","Illuminance (vertical)
","Decimal","fc","Global Terms","","2019-11-26 17:28:02"
"25c0a40b-422c-4d50-97ba-f0050a671c6b","https://bedes.lbl.gov/node/25c0a40b-422c-4d50-97ba-f0050a671c6b","Exposure","Exposure of a material or surface. See the Location term for a complete list of options for this term.
","Constrained List","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"1ec70a6b-70cf-45f5-85ee-3c77476d3451","https://bedes.lbl.gov/node/1ec70a6b-70cf-45f5-85ee-3c77476d3451","Height","The dimension of an object from the bottom to the top. This can be used to define the height of any building component, such as the height of a wall or window.
","Decimal","ft","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"c2479be9-9745-429f-a023-5854432186e1","https://bedes.lbl.gov/node/c2479be9-9745-429f-a023-5854432186e1","Illuminance","The area density of the luminous flux incident at a point on a surface. Measured in units of either lumens per square meter (lux) or lumens per square foot (footcandle).
","Decimal","fc","Global Terms","","2019-11-26 17:28:02"
"cc59ff91-37f2-4775-9794-8b48cbca83a9","https://bedes.lbl.gov/node/cc59ff91-37f2-4775-9794-8b48cbca83a9","Input Resource Type","Resource or fuel consumed by the system. See Resource type for complete list of resources.
","Constrained List","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"da8e676f-7a62-462e-a2e3-0c984269f4aa","https://bedes.lbl.gov/node/da8e676f-7a62-462e-a2e3-0c984269f4aa","Insulation Application","A description of the type of insulation and how it is applied.
","Constrained List","N/A","Global Terms","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
